Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q3,30 Eastern Region,Other assault (035),Number,765
Recorded crime incidents,2023Q3,30 Eastern Region,Dangerous or negligent acts (04),Number,2502
Recorded crime incidents,2023Q3,30 Eastern Region,Dangerous driving causing serious bodily harm (0411),Number,5
Recorded crime incidents,2023Q3,30 Eastern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,413
Recorded crime incidents,2023Q3,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,317
Recorded crime incidents,2023Q3,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,96
Recorded crime incidents,2023Q3,30 Eastern Region,Dangerous/careless driving and motorway offences (0414),Number,330
Recorded crime incidents,2023Q3,30 Eastern Region,Speeding (0415),Number,1702
Recorded crime incidents,2023Q3,30 Eastern Region,Endangerment with potential for serious harm/death (0421),Number,10
Recorded crime incidents,2023Q3,30 Eastern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,32
Recorded crime incidents,2023Q3,30 Eastern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q3,30 Eastern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2023Q3,30 Eastern Region,Endangering traffic offences (0425),Number,10
Recorded crime incidents,2023Q3,30 Eastern Region,Kidnapping and related offences (05),Number,10
Recorded crime incidents,2023Q3,30 Eastern Region,False imprisonment (0511),Number,7
Recorded crime incidents,2023Q3,30 Eastern Region,Abduction of person under 16 years of age (0512),Number,3
Recorded crime incidents,2023Q3,30 Eastern Region,Human trafficking offences (0513),Number,0
Recorded crime incidents,2023Q3,30 Eastern Region,"Robbery, extortion and hijacking offences (06)",Number,105
Recorded crime incidents,2023Q3,30 Eastern Region,Robbery of an establishment or institution (0611),Number,15
Recorded crime incidents,2023Q3,30 Eastern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q3,30 Eastern Region,Robbery from the person (0613),Number,29
Recorded crime incidents,2023Q3,30 Eastern Region,Blackmail or extortion (0621),Number,57
Recorded crime incidents,2023Q3,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,4
Recorded crime incidents,2023Q3,30 Eastern Region,Burglary and related offences (07),Number,589
Recorded crime incidents,2023Q3,30 Eastern Region,Aggravated burglary (0711),Number,11
Recorded crime incidents,2023Q3,30 Eastern Region,Burglary (not aggravated) (0712),Number,570
Recorded crime incidents,2023Q3,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,8
Recorded crime incidents,2023Q3,30 Eastern Region,Theft and related offences (08),Number,3843
Recorded crime incidents,2023Q3,30 Eastern Region,Theft/taking of vehicle and related offences (081),Number,292
Recorded crime incidents,2023Q3,30 Eastern Region,Theft from person (0821),Number,68
Recorded crime incidents,2023Q3,30 Eastern Region,Theft from shop (0822),Number,2098
Recorded crime incidents,2023Q3,30 Eastern Region,"Other thefts, handling stolen property (084)",Number,1385
Recorded crime incidents,2023Q3,30 Eastern Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2023Q3,30 Eastern Region,Controlled drug offences (10),Number,1471
Recorded crime incidents,2023Q3,30 Eastern Region,Importation of drugs (1011),Number,2
Recorded crime incidents,2023Q3,30 Eastern Region,Cultivation or manufacture of drugs (1012),Number,4
Recorded crime incidents,2023Q3,30 Eastern Region,Possession of drugs for sale or supply (1021),Number,305
Recorded crime incidents,2023Q3,30 Eastern Region,Possession of drugs for personal use (1022),Number,1138
Recorded crime incidents,2023Q3,30 Eastern Region,Other drug offences (103),Number,22
Recorded crime incidents,2023Q3,30 Eastern Region,Weapons and explosives offences (11),Number,129
Recorded crime incidents,2023Q3,30 Eastern Region,"Explosives, chemical weapons offences (111)",Number,3
Recorded crime incidents,2023Q3,30 Eastern Region,Discharging a firearm (1121),Number,1
Recorded crime incidents,2023Q3,30 Eastern Region,Possession of a firearm (1122),Number,10
Recorded crime incidents,2023Q3,30 Eastern Region,Offensive weapons offences (n.e.c.) (113),Number,108
Recorded crime incidents,2023Q3,30 Eastern Region,Fireworks offences (114),Number,7
Recorded crime incidents,2023Q3,30 Eastern Region,Damage to property and to the environment  offences (12),Number,1243
Recorded crime incidents,2023Q3,30 Eastern Region,Arson (1211),Number,92
Recorded crime incidents,2023Q3,30 Eastern Region,Criminal damage (not arson) (1212),Number,1145
Recorded crime incidents,2023Q3,30 Eastern Region,Litter offences (1221),Number,6
Recorded crime incidents,2023Q3,30 Eastern Region,Public order and other social code offences (13),Number,1486
Recorded crime incidents,2023Q3,30 Eastern Region,Disorderly conduct (131),Number,1316
Recorded crime incidents,2023Q3,30 Eastern Region,Trespass offences (132),Number,131
Recorded crime incidents,2023Q3,30 Eastern Region,Liquor licensing offences (133),Number,9
Recorded crime incidents,2023Q3,30 Eastern Region,Prostitution offences (134),Number,3
Recorded crime incidents,2023Q3,30 Eastern Region,"Regulated betting/money, collection/trading offences (135)",Number,1
Recorded crime incidents,2023Q3,30 Eastern Region,Social code offences (n.e.c.) (136),Number,26
Recorded crime incidents,2023Q3,30 Eastern Region,Road and traffic offences (14),Number,2208
Recorded crime incidents,2023Q3,30 Eastern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,168
Recorded crime incidents,2023Q3,30 Eastern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,350
Recorded crime incidents,2023Q3,30 Eastern Region,Vehicle tax/registration offences (142),Number,392
Recorded crime incidents,2023Q3,30 Eastern Region,Roadworthiness/regulatory offences (143),Number,45
Recorded crime incidents,2023Q3,30 Eastern Region,Obstruction under Road Traffic Acts (1432),Number,4
Recorded crime incidents,2023Q3,30 Eastern Region,Other road offences (1433),Number,1224
Recorded crime incidents,2023Q3,30 Eastern Region,Road transport - carriage of goods offences (1441),Number,8
Recorded crime incidents,2023Q3,30 Eastern Region,Public service vehicle offences (1442),Number,17
Recorded crime incidents,2023Q3,30 Eastern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2023Q3,30 Eastern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,547
Recorded crime incidents,2023Q3,30 Eastern Region,Offences against government and its agents (151),Number,15
Recorded crime incidents,2023Q3,30 Eastern Region,Organisation of crime and conspiracy to commit crime (152),Number,2
Recorded crime incidents,2023Q3,30 Eastern Region,Perverting the course of justice (153),Number,3
Recorded crime incidents,2023Q3,30 Eastern Region,"Offences while in custody, breach of court orders (157)",Number,527
Recorded crime incidents,2023Q3,30 Eastern Region,Offences not elsewhere classified (16),Number,116
Recorded crime incidents,2023Q3,40 Southern Region,Homicide & related offences (01),Number,14
Recorded crime incidents,2023Q3,40 Southern Region,Murder (0111),Number,2
Recorded crime incidents,2023Q3,40 Southern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q3,40 Southern Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q3,40 Southern Region,Dangerous driving leading to death (012),Number,12
Recorded crime incidents,2023Q3,40 Southern Region,Sexual offences (02),Number,186
Recorded crime incidents,2023Q3,40 Southern Region,Rape and sexual assault (021),Number,160
Recorded crime incidents,2023Q3,40 Southern Region,Other sexual offences (022),Number,26
Recorded crime incidents,2023Q3,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1484
Recorded crime incidents,2023Q3,40 Southern Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2023Q3,40 Southern Region,Threat to kill or cause serious harm (0313),Number,102
Recorded crime incidents,2023Q3,40 Southern Region,Harassment and related offences (033),Number,134
Recorded crime incidents,2023Q3,40 Southern Region,"Assault causing harm, poisoning (034)",Number,288
Recorded crime incidents,2023Q3,40 Southern Region,Other assault (035),Number,960
Recorded crime incidents,2023Q3,40 Southern Region,Dangerous or negligent acts (04),Number,2943
Recorded crime incidents,2023Q3,40 Southern Region,Dangerous driving causing serious bodily harm (0411),Number,5
Recorded crime incidents,2023Q3,40 Southern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,411
Recorded crime incidents,2023Q3,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,326
Recorded crime incidents,2023Q3,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,85
Recorded crime incidents,2023Q3,40 Southern Region,Dangerous/careless driving and motorway offences (0414),Number,313
Recorded crime incidents,2023Q3,40 Southern Region,Speeding (0415),Number,2167
Recorded crime incidents,2023Q3,40 Southern Region,Endangerment with potential for serious harm/death (0421),Number,17
Recorded crime incidents,2023Q3,40 Southern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,13
Recorded crime incidents,2023Q3,40 Southern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q3,40 Southern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,1
Recorded crime incidents,2023Q3,40 Southern Region,Endangering traffic offences (0425),Number,16
Recorded crime incidents,2023Q3,40 Southern Region,Kidnapping and related offences (05),Number,10
Recorded crime incidents,2023Q3,40 Southern Region,False imprisonment (0511),Number,8
Recorded crime incidents,2023Q3,40 Southern Region,Abduction of person under 16 years of age (0512),Number,1
Recorded crime incidents,2023Q3,40 Southern Region,Human trafficking offences (0513),Number,1
Recorded crime incidents,2023Q3,40 Southern Region,"Robbery, extortion and hijacking offences (06)",Number,117
Recorded crime incidents,2023Q3,40 Southern Region,Robbery of an establishment or institution (0611),Number,7
Recorded crime incidents,2023Q3,40 Southern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q3,40 Southern Region,Robbery from the person (0613),Number,50
Recorded crime incidents,2023Q3,40 Southern Region,Blackmail or extortion (0621),Number,54
Recorded crime incidents,2023Q3,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,6
Recorded crime incidents,2023Q3,40 Southern Region,Burglary and related offences (07),Number,455
Recorded crime incidents,2023Q3,40 Southern Region,Aggravated burglary (0711),Number,11
Recorded crime incidents,2023Q3,40 Southern Region,Burglary (not aggravated) (0712),Number,439
Recorded crime incidents,2023Q3,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,5
Recorded crime incidents,2023Q3,40 Southern Region,Theft and related offences (08),Number,3389
Recorded crime incidents,2023Q3,40 Southern Region,Theft/taking of vehicle and related offences (081),Number,367
Recorded crime incidents,2023Q3,40 Southern Region,Theft from person (0821),Number,48
Recorded crime incidents,2023Q3,40 Southern Region,Theft from shop (0822),Number,1706
Recorded crime incidents,2023Q3,40 Southern Region,"Other thefts, handling stolen property (084)",Number,1268
Recorded crime incidents,2023Q3,40 Southern Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2023Q3,40 Southern Region,Controlled drug offences (10),Number,1029
Recorded crime incidents,2023Q3,40 Southern Region,Importation of drugs (1011),Number,1
Recorded crime incidents,2023Q3,40 Southern Region,Cultivation or manufacture of drugs (1012),Number,13
Recorded crime incidents,2023Q3,40 Southern Region,Possession of drugs for sale or supply (1021),Number,215
Recorded crime incidents,2023Q3,40 Southern Region,Possession of drugs for personal use (1022),Number,785
Recorded crime incidents,2023Q3,40 Southern Region,Other drug offences (103),Number,15
Recorded crime incidents,2023Q3,40 Southern Region,Weapons and explosives offences (11),Number,135
Recorded crime incidents,2023Q3,40 Southern Region,"Explosives, chemical weapons offences (111)",Number,13
Recorded crime incidents,2023Q3,40 Southern Region,Discharging a firearm (1121),Number,11
Recorded crime incidents,2023Q3,40 Southern Region,Possession of a firearm (1122),Number,5
Recorded crime incidents,2023Q3,40 Southern Region,Offensive weapons offences (n.e.c.) (113),Number,96
Recorded crime incidents,2023Q3,40 Southern Region,Fireworks offences (114),Number,10
Recorded crime incidents,2023Q3,40 Southern Region,Damage to property and to the environment  offences (12),Number,1178
Recorded crime incidents,2023Q3,40 Southern Region,Arson (1211),Number,67
Recorded crime incidents,2023Q3,40 Southern Region,Criminal damage (not arson) (1212),Number,1103
Recorded crime incidents,2023Q3,40 Southern Region,Litter offences (1221),Number,8
Recorded crime incidents,2023Q3,40 Southern Region,Public order and other social code offences (13),Number,1756
Recorded crime incidents,2023Q3,40 Southern Region,Disorderly conduct (131),Number,1551
Recorded crime incidents,2023Q3,40 Southern Region,Trespass offences (132),Number,123
Recorded crime incidents,2023Q3,40 Southern Region,Liquor licensing offences (133),Number,15
Recorded crime incidents,2023Q3,40 Southern Region,Prostitution offences (134),Number,8
Recorded crime incidents,2023Q3,40 Southern Region,"Regulated betting/money, collection/trading offences (135)",Number,2
Recorded crime incidents,2023Q3,40 Southern Region,Social code offences (n.e.c.) (136),Number,57
Recorded crime incidents,2023Q3,40 Southern Region,Road and traffic offences (14),Number,2250
Recorded crime incidents,2023Q3,40 Southern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,192
Recorded crime incidents,2023Q3,40 Southern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,316
Recorded crime incidents,2023Q3,40 Southern Region,Vehicle tax/registration offences (142),Number,480
Recorded crime incidents,2023Q3,40 Southern Region,Roadworthiness/regulatory offences (143),Number,23
Recorded crime incidents,2023Q3,40 Southern Region,Obstruction under Road Traffic Acts (1432),Number,13
Recorded crime incidents,2023Q3,40 Southern Region,Other road offences (1433),Number,1182
Recorded crime incidents,2023Q3,40 Southern Region,Road transport - carriage of goods offences (1441),Number,11
Recorded crime incidents,2023Q3,40 Southern Region,Public service vehicle offences (1442),Number,33
Recorded crime incidents,2023Q3,40 Southern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2023Q3,40 Southern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,625
Recorded crime incidents,2023Q3,40 Southern Region,Offences against government and its agents (151),Number,60
Recorded crime incidents,2023Q3,40 Southern Region,Organisation of crime and conspiracy to commit crime (152),Number,1
Recorded crime incidents,2023Q3,40 Southern Region,Perverting the course of justice (153),Number,6
Recorded crime incidents,2023Q3,40 Southern Region,"Offences while in custody, breach of court orders (157)",Number,558
Recorded crime incidents,2023Q3,40 Southern Region,Offences not elsewhere classified (16),Number,117
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Homicide & related offences (01),Number,7
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Murder (0111),Number,5
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Dangerous driving leading to death (012),Number,2
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Sexual offences (02),Number,255
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Rape and sexual assault (021),Number,224
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Other sexual offences (022),Number,31
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,2019
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Murder-attempt (0311),Number,9
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Threat to kill or cause serious harm (0313),Number,137
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Harassment and related offences (033),Number,143
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Assault causing harm, poisoning (034)",Number,571
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Other assault (035),Number,1159
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Dangerous or negligent acts (04),Number,1420
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm (0411),Number,3
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,321
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,245
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,76
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Dangerous/careless driving and motorway offences (0414),Number,233
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Speeding (0415),Number,794
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death (0421),Number,26
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty (0422)",Number,17
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities (0424),Number,8
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Endangering traffic offences (0425),Number,18
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Kidnapping and related offences (05),Number,19
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,False imprisonment (0511),Number,14
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Abduction of person under 16 years of age (0512),Number,2
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Human trafficking offences (0513),Number,3
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences (06)",Number,412
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Robbery of an establishment or institution (0611),Number,89
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Robbery of cash or goods in transit (0612),Number,2
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Robbery from the person (0613),Number,227
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Blackmail or extortion (0621),Number,68
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,26
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Burglary and related offences (07),Number,1143
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Aggravated burglary (0711),Number,24
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Burglary (not aggravated) (0712),Number,1057
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,62
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Theft and related offences (08),Number,9671
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences (081),Number,1054
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Theft from person (0821),Number,976
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Theft from shop (0822),Number,2987
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Other thefts, handling stolen property (084)",Number,4654
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Controlled drug offences (10),Number,1383
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Importation of drugs (1011),Number,13
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs (1012),Number,6
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Possession of drugs for sale or supply (1021),Number,546
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Possession of drugs for personal use (1022),Number,736
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Other drug offences (103),Number,82
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Weapons and explosives offences (11),Number,346
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences (111)",Number,6
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Discharging a firearm (1121),Number,14
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Possession of a firearm (1122),Number,21
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.) (113),Number,278
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Fireworks offences (114),Number,27
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Damage to property and to the environment  offences (12),Number,2364
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Arson (1211),Number,169
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Criminal damage (not arson) (1212),Number,2193
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Litter offences (1221),Number,2
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Public order and other social code offences (13),Number,2630
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Disorderly conduct (131),Number,2219
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Trespass offences (132),Number,303
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Liquor licensing offences (133),Number,15
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Prostitution offences (134),Number,0
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences (135)",Number,3
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Social code offences (n.e.c.) (136),Number,90
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Road and traffic offences (14),Number,3575
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Driving licence-failure to have, produce, etc. (1411)",Number,276
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,516
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Vehicle tax/registration offences (142),Number,478
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Roadworthiness/regulatory offences (143),Number,21
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Obstruction under Road Traffic Acts (1432),Number,2
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Other road offences (1433),Number,2161
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Road transport - carriage of goods offences (1441),Number,8
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Public service vehicle offences (1442),Number,110
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Light rail offences (Luas) (1443),Number,3
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime (15)",Number,2293
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Offences against government and its agents (151),Number,19
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime (152),Number,4
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Perverting the course of justice (153),Number,2
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders (157)",Number,2268
Recorded crime incidents,2023Q4,10 Dublin Metropolitan Region,Offences not elsewhere classified (16),Number,130
Recorded crime incidents,2023Q4,20 North Western Region,Homicide & related offences (01),Number,7
Recorded crime incidents,2023Q4,20 North Western Region,Murder (0111),Number,1
Recorded crime incidents,2023Q4,20 North Western Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Dangerous driving leading to death (012),Number,6
Recorded crime incidents,2023Q4,20 North Western Region,Sexual offences (02),Number,183
Recorded crime incidents,2023Q4,20 North Western Region,Rape and sexual assault (021),Number,156
Recorded crime incidents,2023Q4,20 North Western Region,Other sexual offences (022),Number,27
Recorded crime incidents,2023Q4,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1154
Recorded crime incidents,2023Q4,20 North Western Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Threat to kill or cause serious harm (0313),Number,74
Recorded crime incidents,2023Q4,20 North Western Region,Harassment and related offences (033),Number,148
Recorded crime incidents,2023Q4,20 North Western Region,"Assault causing harm, poisoning (034)",Number,282
Recorded crime incidents,2023Q4,20 North Western Region,Other assault (035),Number,650
Recorded crime incidents,2023Q4,20 North Western Region,Dangerous or negligent acts (04),Number,1891
Recorded crime incidents,2023Q4,20 North Western Region,Dangerous driving causing serious bodily harm (0411),Number,2
Recorded crime incidents,2023Q4,20 North Western Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,524
Recorded crime incidents,2023Q4,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,353
Recorded crime incidents,2023Q4,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,171
Recorded crime incidents,2023Q4,20 North Western Region,Dangerous/careless driving and motorway offences (0414),Number,300
Recorded crime incidents,2023Q4,20 North Western Region,Speeding (0415),Number,1021
Recorded crime incidents,2023Q4,20 North Western Region,Endangerment with potential for serious harm/death (0421),Number,14
Recorded crime incidents,2023Q4,20 North Western Region,"Abandoning a child, child neglect and cruelty (0422)",Number,20
Recorded crime incidents,2023Q4,20 North Western Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Endangering traffic offences (0425),Number,10
Recorded crime incidents,2023Q4,20 North Western Region,Kidnapping and related offences (05),Number,8
Recorded crime incidents,2023Q4,20 North Western Region,False imprisonment (0511),Number,4
Recorded crime incidents,2023Q4,20 North Western Region,Abduction of person under 16 years of age (0512),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Human trafficking offences (0513),Number,4
Recorded crime incidents,2023Q4,20 North Western Region,"Robbery, extortion and hijacking offences (06)",Number,60
Recorded crime incidents,2023Q4,20 North Western Region,Robbery of an establishment or institution (0611),Number,10
Recorded crime incidents,2023Q4,20 North Western Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Robbery from the person (0613),Number,13
Recorded crime incidents,2023Q4,20 North Western Region,Blackmail or extortion (0621),Number,35
Recorded crime incidents,2023Q4,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,2
Recorded crime incidents,2023Q4,20 North Western Region,Burglary and related offences (07),Number,427
Recorded crime incidents,2023Q4,20 North Western Region,Aggravated burglary (0711),Number,8
Recorded crime incidents,2023Q4,20 North Western Region,Burglary (not aggravated) (0712),Number,418
Recorded crime incidents,2023Q4,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,1
Recorded crime incidents,2023Q4,20 North Western Region,Theft and related offences (08),Number,1956
Recorded crime incidents,2023Q4,20 North Western Region,Theft/taking of vehicle and related offences (081),Number,110
Recorded crime incidents,2023Q4,20 North Western Region,Theft from person (0821),Number,28
Recorded crime incidents,2023Q4,20 North Western Region,Theft from shop (0822),Number,1121
Recorded crime incidents,2023Q4,20 North Western Region,"Other thefts, handling stolen property (084)",Number,697
Recorded crime incidents,2023Q4,20 North Western Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2023Q4,20 North Western Region,Controlled drug offences (10),Number,495
Recorded crime incidents,2023Q4,20 North Western Region,Importation of drugs (1011),Number,0
Recorded crime incidents,2023Q4,20 North Western Region,Cultivation or manufacture of drugs (1012),Number,8
Recorded crime incidents,2023Q4,20 North Western Region,Possession of drugs for sale or supply (1021),Number,128
Recorded crime incidents,2023Q4,20 North Western Region,Possession of drugs for personal use (1022),Number,351
Recorded crime incidents,2023Q4,20 North Western Region,Other drug offences (103),Number,8
Recorded crime incidents,2023Q4,20 North Western Region,Weapons and explosives offences (11),Number,125
Recorded crime incidents,2023Q4,20 North Western Region,"Explosives, chemical weapons offences (111)",Number,2
Recorded crime incidents,2023Q4,20 North Western Region,Discharging a firearm (1121),Number,2
Recorded crime incidents,2023Q4,20 North Western Region,Possession of a firearm (1122),Number,8
