Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Litter offences (1221),Number,3
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Public order and other social code offences (13),Number,2537
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Disorderly conduct (131),Number,1981
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Trespass offences (132),Number,329
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Liquor licensing offences (133),Number,3
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Prostitution offences (134),Number,2
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences (135)",Number,9
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Social code offences (n.e.c.) (136),Number,213
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Road and traffic offences (14),Number,4106
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Driving licence-failure to have, produce, etc. (1411)",Number,308
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,545
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Vehicle tax/registration offences (142),Number,657
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Roadworthiness/regulatory offences (143),Number,23
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Obstruction under Road Traffic Acts (1432),Number,1
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Other road offences (1433),Number,2416
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Road transport - carriage of goods offences (1441),Number,9
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Public service vehicle offences (1442),Number,147
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime (15)",Number,2742
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Offences against government and its agents (151),Number,26
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime (152),Number,4
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,Perverting the course of justice (153),Number,1
Recorded crime incidents,2023Q1,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders (157)",Number,2711
